Data From Text
word,count
 ,0
I'm,1
sorry ,1
an,1
emperor ,1
That's,1
business ,1
rule,1
or,1
conquer,1
anyone ,1
should,1
everyone,1
if,1
possible,1
Jew ,1
Gentile,1
black,1
white ,1
Human,1
beings,1
that ,1
live,1
happiness,1
misery ,1
there,1
room,1
good,1
earth,1
rich,1
provide,1
lost,1
way ,1
Greed,1
poisoned,1
souls ,1
barricaded,1
goosesteppedd,1
into,1
bloodshed ,1
developed,1
speed ,1
shut,1
ourselves,1
in ,1
Machinery,1
gives,1
abundance,1
left,1
want ,1
knowledge,1
made,1
cynical ,1
cleverness ,1
hard,1
unkind ,1
much,1
feel,1
little ,1
machinery,1
humanity ,1
cleverness,1
kindness,1
gentleness ,1
Without,1
qualities ,1
violent,1
lost   ,1
aeroplane,1
radio,1
brought,1
closer,1
together ,1
very,1
nature,1
inventions,1
cries,1
goodness,1
Cries,1
universal,1
brotherhood,1
unity,1
all ,1
Even,1
voice,1
reaching,1
millions,1
throughout,1
Millions,1
despairing,1
women ,1
little,1
children,1
Victims,1
system,1
makes,1
torture,1
imprison,1
innocent,1
those,1
hear,1
me ,1
say,1
despair ,1
upon,1
passing,1
greed,1
bitterness,1
fear,1
human,1
progress ,1
pass ,1
dictators,1
took,1
from,1
return,1
so,1
long,1
liberty,1
perish ,1
   ,1
Men,1
regiment,1
lives,1
Tell,1
feel ,1
drill,1
diet,1
treat,1
cannon,1
fodder ,1
unnatural,1
Machine,1
minds,1
love,1
humanity,1
Only,1
unnatural ,1
slavery ,1
Fight,1
liberty ,1
17th,1
Chapter,1
St,1
Luke,1
it,1
written:,1
"the,1
Kingdom,1
God,1
within,1
man",1
Not,1
nor,1
group,1
you ,1
wonderful,1
adventure ,1
Then,1
Soldiers,1
unite ,1
new,1
decent,1
chance,1
work,1
That,1
youth,1
future,1
old,1
age,1
security ,1
By,1
promise,1
things ,1
risen,1
power ,1
lie ,1
will ,1
Dictators,1
themselves,1
Now,1
let,1
national,1
barriers,1
greed ,1
With,1
intolerance ,1
reason ,1
where,1
science,1
progress,1
lead,1
my,2
help,2
man,2
another ,2
by,2
each,2
other's,2
despise,2
everyone ,2
way,2
beautiful ,2
men's,2
Has,2
hate ,2
misery,2
Our,2
think,2
too,2
More,2
than,2
need,2
out,2
now,2
die ,2
people,2
as,2
never,2
Soldiers ,2
yourselves,2
brutes,2
enslave,2
Who,2
your,2
cattle ,2
use,2
machine,2
hearts ,2
machines ,2
unloved,2
You ,2
create,2
happiness ,2
make,2
name,2
democracy,2
A,2
They,2
fulfil,2
promise ,2
away,2
But,3
like,3
one,3
In,3
this,3
can,3
has,3
who,3
they,3
Don't,3
what,3
I,4
don't,4
be,4
are,4
hate,4
And,4
life,4
free,4
we,4
with,4
but,4
these,4
men ,4
people ,4
To,4
give,4
want,5
We,5
all,5
do,5
You,5
fight,5
Let,5
not,6
in,6
power,6
is,7
that,7
you,7
world,8
have,8
will,8
men,8
a,8
for,9
The,9
us,12
of,17
and,18
to,20
the,25
